user_id,total_sessions,avg_session_duration,avg_events_per_session,avg_article_views,avg_article_clicks,avg_video_plays,avg_newsletter_signups,avg_pages_per_session,avg_categories_diversity,has_newsletter,current_subscription_tier,primary_country,primary_device,preferred_brand,first_session,last_session,days_active
142,198,64.0,7.0,4.0,3.0,0.0,0.0,7.0,4.0,0,enterprise,CH,mobile,welt,2025-11-05 21:39:14,2025-11-05 21:39:14,0
138,198,170.0,16.0,8.0,4.0,0.0,0.0,16.0,5.0,0,enterprise,DE,app,bild,2025-11-05 21:39:02,2025-11-05 21:39:02,0
137,198,135.0,9.0,7.0,0.0,1.0,0.0,9.0,4.0,0,free,US,desktop,politico,2025-11-05 21:39:08,2025-11-05 21:39:08,0
141,198,112.0,8.0,6.0,1.0,0.0,0.0,8.0,4.0,0,premium,US,smart_tv,politico,2025-11-05 21:39:17,2025-11-05 21:39:17,0
136,198,196.0,11.0,6.0,4.0,0.0,0.0,11.0,5.0,0,enterprise,AT,mobile,bild,2025-11-05 21:39:22,2025-11-05 21:39:22,0
140,198,99.0,6.0,5.0,0.0,0.0,0.0,6.0,5.0,0,premium,UK,smart_tv,business_insider,2025-11-05 21:39:06,2025-11-05 21:39:06,0
139,198,34.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,0,enterprise,UK,app,business_insider,2025-11-05 21:39:03,2025-11-05 21:39:03,0
145,197,143.0,11.0,9.0,2.0,0.0,0.0,11.0,5.0,0,premium,CH,smart_tv,bild,2025-11-05 21:39:18,2025-11-05 21:39:18,0
149,197,26.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0,pro,US,mobile,business_insider,2025-11-05 21:39:50,2025-11-05 21:39:50,0
154,197,98.0,7.0,4.0,1.0,2.0,0.0,7.0,5.0,0,enterprise,AT,app,sport_bild,2025-11-05 21:39:41,2025-11-05 21:39:41,0
153,197,69.0,4.0,1.0,2.0,1.0,0.0,4.0,3.0,0,enterprise,AU,app,business_insider,2025-11-05 21:39:43,2025-11-05 21:39:43,0
150,197,101.0,6.0,6.0,0.0,0.0,0.0,6.0,3.0,0,pro,DE,smart_tv,welt,2025-11-05 21:39:36,2025-11-05 21:39:36,0
146,197,125.0,11.0,8.0,1.0,1.0,0.0,11.0,5.0,0,free,UK,smart_tv,business_insider,2025-11-05 21:39:34,2025-11-05 21:39:34,0
143,197,226.0,16.0,11.0,1.0,0.0,0.0,16.0,5.0,0,premium,EU,desktop,politico,2025-11-05 21:39:37,2025-11-05 21:39:37,0
151,197,179.0,13.0,10.0,1.0,0.0,0.0,13.0,4.0,0,free,EU,mobile,sport_bild,2025-11-05 21:39:48,2025-11-05 21:39:48,0
